keys,en,ko,en_XA
MENU_RANKING,🏆  Ranking,🏆  랭킹,[🏆  Řàńķïńğ ————————]
MENU_SETTINGS,⚙  Settings,⚙  설정,[⚙  Şéţţïńğş ————————]
MENU_ACHV,🏅  Achievements,🏅  업적,[🏅  Åçĥïéṽéɱéńţş ————————————]
MENU_WEEKLY_PRIZE,Last week's ranking prize!  +{gold} G  +{cans} cans,지난주 랭킹 보상!  +{gold} G  +{cans} 캔,[Łàşţ ŵééķ'ş řàńķïńğ þřïżé!  +{gold} Ğ  +{cans} çàńş ————————————————————————————————————————]
MENU_WEEKLY_PRIZE_GOLD,Last week's ranking prize!  +{gold} G,지난주 랭킹 보상!  +{gold} G,[Łàşţ ŵééķ'ş řàńķïńğ þřïżé!  +{gold} Ğ —————————————————————————————]
MENU_WEEKLY_PRIZE_CAN,Last week's ranking prize!  +{cans} cans,지난주 랭킹 보상!  +{cans} 캔,[Łàşţ ŵééķ'ş řàńķïńğ þřïżé!  +{cans} çàńş ————————————————————————————————]
MODE_ENDLESS,Endless Stairs,무한의 계단,[Éńðłéşş Şţàïřş ———————————]
MODE_ENDLESS_DESC,Stack blocks forever and climb as high as you can!,끝없이 블록을 쌓으며 최대한 높이 올라가자!,[Şţàçķ ƀłôçķş ƒôřéṽéř àńð çłïɱƀ àş ĥïğĥ àş ÿôü çàń! ————————————————————————————————————————]
MODE_CLASSIC,Stage Mode,스테이지 모드,[Şţàğé Ṁôðé ————————]
MODE_CLASSIC_DESC,Clear the goal lines and the shutter drops for the next board — one LEVEL is one stage!,목표 줄을 지우면 셔터가 내려오고 다음 판 — LEVEL 하나가 스테이지 하나!,[Çłéàř ţĥé ğôàł łïńéş àńð ţĥé şĥüţţéř ðřôþş ƒôř ţĥé ńéẋţ ƀôàřð — ôńé ŁÉṼÉŁ ïş ôńé şţàğé! —————————————————————————————————————————————————————————————————————]
MODE_CLASSIC_DESC_BEST,One LEVEL is one board — best score  {best} pts,LEVEL 하나가 판 하나 — 최고 기록  {best}점,[Ôńé ŁÉṼÉŁ ïş ôńé ƀôàřð — ƀéşţ şçôřé  {best} þţş —————————————————————————————————————]
CHAR_SELECT,Select Character,캐릭터 선택,[Şéłéçţ Çĥàřàçţéř ————————————]
CHAR_EQUIPPED,Equipped,장착 중,[Éɋüïþþéð ——————]
CHAR_RECRUITED,{name} joined the crew!,{name} 냥이 영입 완료!,[{name} ĵôïńéð ţĥé çřéŵ! ——————————————————]
SHOP_TITLE,Shop,상점,[Şĥôþ ———]
SHOP_HEAD,Head Accessories,머리 장식,[Ĥéàð Åççéşşôřïéş ————————————]
SHOP_NO_GOLD,Not enough gold!,골드가 부족해요!,[Ńôţ éńôüğĥ ğôłð! ————————————]
SHOP_NO_CANS,Not enough cans!,통조림 캔이 부족해요!,[Ńôţ éńôüğĥ çàńş! ————————————]
RANK_TITLE,🏆  Ranking,🏆  랭킹,[🏆  Řàńķïńğ ————————]
RANK_MY_NAME,My Name,내 이름,[Ṁÿ Ńàɱé —————]
RANK_RENAME,Change,변경,[Çĥàńğé ————]
RANK_RENAMED,Your name is now '{name}'!,이름이 '{name}' (으)로 바뀌었어요!,[Ÿôüř ńàɱé ïş ńôŵ '{name}'! ————————————————————]
RANK_NAME_ACCOUNT,Using your Steam account name,스팀 계정 이름을 사용해요,[Üşïńğ ÿôüř Şţéàɱ àççôüńţ ńàɱé ———————————————————————]
RANK_WEEKLY,Weekly,주간 랭킹,[Ŵééķłÿ ————]
RANK_ALLTIME,All-time,누적 랭킹,[Åłł-ţïɱé ——————]
RANK_RESET_IN,Resets in {time}   ·   Top 3 prizes  500G / 300G / 200G,초기화까지 {time}   ·   1~3위 보상  500G / 300G / 200G,[Řéşéţş ïń {time}   ·   Ţôþ 3 þřïżéş  500Ğ / 300Ğ / 200Ğ ————————————————————————————————————————————]
RANK_LOADING,Loading...,불러오는 중...,[Łôàðïńğ... ————————]
RANK_SCOPE_WEEK,This week's,이번 주,[Ţĥïş ŵééķ'ş ————————]
RANK_SCOPE_MINE,My,내,[Ṁÿ]
RANK_MY_RANK,{scope} rank  #{rank}  ·  {value},{scope} 순위  {rank}위  ·  {value},[{scope} řàńķ  #{rank}  ·  {value} ——————————————————————————]
RANK_MY_RANK_MOCK,{scope} rank  #{rank}  ·  {value}   (other players are placeholder data),{scope} 순위  {rank}위  ·  {value}   (다른 유저는 임시 데이터),[{scope} řàńķ  #{rank}  ·  {value}   (ôţĥéř þłàÿéřş àřé þłàçéĥôłðéř ðàţà) —————————————————————————————————————————————————————————]
RANK_NONE_MOCK,No record yet — finish one run to register!   (other players are placeholder data),아직 내 기록 없음 — 한 판 달리면 자동 등록!   (다른 유저는 임시 데이터),[Ńô řéçôřð ÿéţ — ƒïńïşĥ ôńé řüń ţô řéğïşţéř!   (ôţĥéř þłàÿéřş àřé þłàçéĥôłðéř ðàţà) —————————————————————————————————————————————————————————————————]
RANK_NONE,No rank yet — set a record and you're in!,아직 순위 없음 — 기록을 세우면 자동 등록!,[Ńô řàńķ ÿéţ — şéţ à řéçôřð àńð ÿôü'řé ïń! ————————————————————————————————]
RANK_SUBMITTING,Submitting... try refreshing in a moment,등록 중... 잠시 후 새로고침해 보세요,[Şüƀɱïţţïńğ... ţřÿ řéƒřéşĥïńğ ïń à ɱôɱéńţ ————————————————————————————————]
RANK_BE_FIRST,Be the very first record holder!,첫 기록의 주인공이 되어보자냥!,[Ɓé ţĥé ṽéřÿ ƒïřşţ řéçôřð ĥôłðéř! —————————————————————————]
RANK_POSITION,#{rank},{rank}위,[#{rank} —————]
RANK_MY_RECORD,My record,내 기록,[Ṁÿ řéçôřð ———————]
RANK_ME_MARK,   ◀ me,   ◀ 나,[   ◀ ɱé —————]
RANK_REPLAY_FAIL,Couldn't load that replay,리플레이를 불러올 수 없어요,[Çôüłðń'ţ łôàð ţĥàţ řéþłàÿ ————————————————————]
KEYCAP_TITLE,▦ Keycap Dex,▦ 키캡 도감,[▦ Ķéÿçàþ Ðéẋ —————————]
KEYCAP_HINT,"Collect A-Z for a cat to recruit it, then grade it up to Grade 4!","냥이별 A~Z를 한 바퀴 모으면 그 냥이가 합류하고, 한 바퀴 더 모을 때마다 등급이 올라간다냥! (최고 4등급)","[Çôłłéçţ Å-Ż ƒôř à çàţ ţô řéçřüïţ ïţ, ţĥéń ğřàðé ïţ üþ ţô Ğřàðé 4! ————————————————————————————————————————————————————]"
KEYCAP_STATS,{name}   ·   {kinds} / 26   ·   Grade {grade} / {max}   ·   {total} drawn,{name}   ·   {kinds} / 26   ·   {grade} / {max} 등급   ·   총 {total}장,[{name}   ·   {kinds} / 26   ·   Ğřàðé {grade} / {max}   ·   {total} ðřàŵń ——————————————————————————————————————————————————————————]
KEYCAP_NEW,New keycap!  {name}  {letter},새 키캡!  {name}  {letter},[Ńéŵ ķéÿçàþ!  {name}  {letter} ———————————————————————]
KEYCAP_GRADE_UP,{name} reached Grade {grade}!,{name} {grade}등급 달성!,[{name} řéàçĥéð Ğřàðé {grade}! ———————————————————————]
CHAR_UNLOCK_TITLE,New cat unlocked!,새 캐릭터 해금!,[Ńéŵ çàţ üńłôçķéð! —————————————]
CHAR_UNLOCK_PARTS_TITLE,New parts unlocked!,새 파츠 해금!,[Ńéŵ þàřţş üńłôçķéð! ———————————————]
CHAR_UNLOCK_HINT,Send them out from 🐾 Change Cat on the title stage.,타이틀 무대의 🐾 캐릭터 변경에서 데리고 나갈 수 있다냥.,[Şéńð ţĥéɱ ôüţ ƒřôɱ 🐾 Çĥàńğé Çàţ ôń ţĥé ţïţłé şţàğé. ————————————————————————————————————————]
CHAR_UNLOCK_PARTS_GAIN,New parts  {parts},새로 붙은 파츠  {parts},[Ńéŵ þàřţş  {parts} ——————————————]
CHAR_UNLOCK_PARTS_HINT,Unlocked parts also become materials for My Own Cat.,해금한 파츠는 나만의 캐릭터 꾸미기 재료로도 열린다냥.,[Üńłôçķéð þàřţş àłşô ƀéçôɱé ɱàţéřïàłş ƒôř Ṁÿ Ôŵń Çàţ. —————————————————————————————————————————]
CHAR_UNLOCK_NEXT,Next  ({n} left),다음  ({n}개 남음),[Ńéẋţ  ({n} łéƒţ) ————————————]
CHAR_KEYCAP,▦ Keycaps  {ring} / 26      Grade {grade} / {max},▦ 키캡  {ring} / 26      등급 {grade} / {max},[▦ Ķéÿçàþş  {ring} / 26      Ğřàðé {grade} / {max} ———————————————————————————————————————]
CHAR_KEYCAP_NEXT,{left} more letters to reach Grade {grade},{left}글자만 더 모으면 {grade}등급,[{left} ɱôřé łéţţéřş ţô řéàçĥ Ğřàðé {grade} —————————————————————————————————]
CHAR_KEYCAP_MAX,Top grade — every part unlocked,최고 등급 — 파츠 전부 해금,[Ţôþ ğřàðé — éṽéřÿ þàřţ üńłôçķéð ————————————————————————]
CHAR_LOCK_KEYCAP,{left} more letters to recruit this cat,{left}글자만 더 모으면 이 냥이 합류,[{left} ɱôřé łéţţéřş ţô řéçřüïţ ţĥïş çàţ ———————————————————————————————]
CHAR_UNIQUE_CAN,Unique — can draw only,유니크 — 캔 뽑기 전용,[Üńïɋüé — çàń ðřàŵ ôńłÿ —————————————————]
SHOP_GACHA_EMPTY,Turn the crank — capsules pop out here!,손잡이를 돌려 보자냥! 캡슐이 여기로 굴러 나온다냥,[Ţüřń ţĥé çřàńķ — çàþşüłéş þôþ ôüţ ĥéřé! ———————————————————————————————]
SHOP_GACHA_RANDOM,🎲  Random,🎲  랜덤 뽑기,[🎲  Řàńðôɱ ———————]
SHOP_GACHA_PICK,🎯  Pick cats,🎯  선택 뽑기,[🎯  Þïçķ çàţş —————————]
SHOP_GACHA_PICK_DESC,Only the {n} cats you choose come out  ·  price +{pct}%,고른 {n}마리에서만 나온다냥  ·  가격 +{pct}%,[Ôńłÿ ţĥé {n} çàţş ÿôü çĥôôşé çôɱé ôüţ  ·  þřïçé +{pct}% ————————————————————————————————————————————]
SHOP_GACHA_PICK_COUNT,Chosen  {n} / {max},선택한 냥이  {n} / {max},[Çĥôşéń  {n} / {max} ———————————————]
SHOP_GACHA_PICK_NEED,Choose {n} cats first!,냥이 {n}마리를 먼저 고르라냥!,[Çĥôôşé {n} çàţş ƒïřşţ! —————————————————]
SHOP_GACHA_FULL,You can only choose {max} cats!,{max}마리까지만 고를 수 있다냥!,[Ÿôü çàń ôńłÿ çĥôôşé {max} çàţş! ————————————————————————]
SHOP_GACHA_DONE_CAT,{name} already has every keycap!,{name}은 키캡을 전부 모았다냥!,[{name} àłřéàðÿ ĥàş éṽéřÿ ķéÿçàþ! —————————————————————————]
SHOP_GACHA_SOLD_OUT,No keycaps left to draw!,더 뽑을 키캡이 없다냥!,[Ńô ķéÿçàþş łéƒţ ţô ðřàŵ! ———————————————————]
SHOP_GACHA_CHIP_DONE,Complete,수집 완료,[Çôɱþłéţé ——————]
SHOP_GACHA_DRAW_BTN,Draw,뽑기,[Ðřàŵ ———]
SHOP_GACHA_PRICE,{price} G,{price} G,[{price} Ğ ———————]
SHOP_GACHA_PRICE_CAN,{price},{price},[{price} —————]
SHOP_GACHA_MIN,Min,최소,[Ṁïń ——]
SHOP_GACHA_MAX,Max,최대,[Ṁàẋ ——]
SHOP_GACHA_PICK_SET,Choose {n} cats,캐릭터 {n}종 선택,[Çĥôôşé {n} çàţş ————————————]
SHOP_GACHA_PICK_BOOST,Cats you set show up far more often.,설정한 캐릭터의 확률이 대폭 증가합니다.,[Çàţş ÿôü şéţ şĥôŵ üþ ƒàř ɱôřé ôƒţéń. ————————————————————————————]
SHOP_GACHA_PICK_TITLE,Pick cats for the machine,선택 뽑기 캐릭터,[Þïçķ çàţş ƒôř ţĥé ɱàçĥïńé ————————————————————]
SHOP_GACHA_CAN,🥫  Can draw,🥫  캔 뽑기,[🥫  Çàń ðřàŵ ————————]
SHOP_GACHA_CAN_SET,Choose 1 unique cat,유니크 냥이 선택,[Çĥôôşé 1 üńïɋüé çàţ ———————————————]
SHOP_GACHA_CAN_BOOST,Unique keycaps: cans only.,유니크 키캡은 캔으로만.,[Üńïɋüé ķéÿçàþş: çàńş ôńłÿ. ————————————————————]
SHOP_GACHA_CAN_TITLE,Pick a unique cat,유니크 냥이 선택,[Þïçķ à üńïɋüé çàţ —————————————]
SHOP_GACHA_CAN_DESC,Cans come only from weekly ranking prizes — spend them on one unique cat.,캔은 주간 랭킹 보상으로만 들어온다냥 — 유니크 냥이 한 마리에 쓰라냥.,[Çàńş çôɱé ôńłÿ ƒřôɱ ŵééķłÿ řàńķïńğ þřïżéş — şþéńð ţĥéɱ ôń ôńé üńïɋüé çàţ. ——————————————————————————————————————————————————————————]
SHOP_GACHA_CAN_NEED,Choose a unique cat first!,유니크 냥이를 먼저 고르라냥!,[Çĥôôşé à üńïɋüé çàţ ƒïřşţ! ————————————————————]
SHOP_GACHA_RESULT,Draw results,뽑기 결과,[Ðřàŵ řéşüłţş —————————]
TUT_KEYS_MOBILE,Left ◀ ▶ move · ▼ drop   |   Right rotate · ▲ jump,왼쪽 ◀ ▶ 이동 · ▼ 낙하   |   오른쪽 회전 · ▲ 점프,[Łéƒţ ◀ ▶ ɱôṽé · ▼ ðřôþ   |   Řïğĥţ řôţàţé · ▲ ĵüɱþ ————————————————————————————————————————]
TOUCH_ROT_M,⟳ Rotate,⟳ 회전,[⟳ Řôţàţé ——————]
TOUCH_JUMP_M,▲ Jump,▲ 점프,[▲ Ĵüɱþ ————]
RANK_DUR_DH,{d}d {h}h,{d}일 {h}시간,[{d}ð {h}ĥ ———————]
RANK_DUR_HM,{h}h {m}m,{h}시간 {m}분,[{h}ĥ {m}ɱ ———————]
RANK_DUR_M,{m}m,{m}분,[{m}ɱ ———]
CC_RESET,Reset,초기화,[Řéşéţ ————]
CC_FLAVOR_WELCOME,Welcome to the Cat Creator.,냥이 크리에이터에 오신 것을 환영합니다.,[Ŵéłçôɱé ţô ţĥé Çàţ Çřéàţôř. —————————————————————]
CC_FLAVOR_RANDOM,Random gene splice complete!! We take no responsibility.,유전자 무작위 재조합 완료!! 결과는 책임지지 않습니다.,[Řàńðôɱ ğéńé şþłïçé çôɱþłéţé!! Ŵé ţàķé ńô řéşþôńşïƀïłïţÿ. ————————————————————————————————————————————]
CC_FLAVOR_RESET,Factory reset done. (The cat's memories are intact.),공장 초기화 완료. (냥이의 기억은 무사합니다),[Ƒàçţôřÿ řéşéţ ðôńé. (Ţĥé çàţ'ş ɱéɱôřïéş àřé ïńţàçţ.) —————————————————————————————————————————]
CC_FLAVOR_COLOR,Color gene injected.,빛깔 유전자 주입 완료.,[Çôłôř ğéńé ïńĵéçţéð. ————————————————]
CC_RANDOM,🎲 Randomize,🎲 랜덤 생성,[🎲 Řàńðôɱïżé ————————]
CC_PRESET,Original Cats,원본 냥이,[Ôřïğïńàł Çàţş ——————————]
CC_FLAVOR_PRESET,Genome transplanted! Now make it yours.,유전자 이식 완료! 이제 마음대로 주무르세요.,[Ğéńôɱé ţřàńşþłàńţéð! Ńôŵ ɱàķé ïţ ÿôüřş. ———————————————————————————————]
MENU_SEAT_CHANGE,🐾 Change Cat,🐾 캐릭터 변경,[🐾 Çĥàńğé Çàţ —————————]
MENU_QUIT,Quit,종료,[Ɋüïţ ———]
CC_LOCKED,🔒 Recruit {name} to use this part,🔒 {name} 냥이를 합류시키면 쓸 수 있어요,[🔒 Řéçřüïţ {name} ţô üşé ţĥïş þàřţ ——————————————————————————]
CC_LOCKED_GRADE,🔒 {name} needs Grade {grade} for this part,🔒 {name} 냥이가 {grade}등급이 되면 열려요,[🔒 {name} ńééðş Ğřàðé {grade} ƒôř ţĥïş þàřţ —————————————————————————————————]
CC_LOCKED_ANY,🔒 This part is still locked,🔒 아직 잠긴 파츠예요,[🔒 Ţĥïş þàřţ ïş şţïłł łôçķéð —————————————————————]
CC_PREVIEW,👁 Preview only — not saved,👁 미리보기 — 저장되지 않아요,[👁 Þřéṽïéŵ ôńłÿ — ńôţ şàṽéð ————————————————————]
CC_PREVIEW_ON,👁 Previewing {n} locked part(s) — they will not be saved,👁 잠긴 파츠 {n}개 미리보기 중 — 저장되지 않아요,[👁 Þřéṽïéŵïńğ {n} łôçķéð þàřţ(ş) — ţĥéÿ ŵïłł ńôţ ƀé şàṽéð ————————————————————————————————————————————]
CC_PREVIEW_CLEAR,👁 Clear preview,👁 미리보기 끄기,[👁 Çłéàř þřéṽïéŵ ————————————]
MENU_LEVEL,Lv.{level},Lv.{level},[Łṽ.{level} ————————]
MENU_LEVEL_XP,{xp} / {need} XP,{xp} / {need} XP,[{xp} / {need} ẊÞ ————————————]
MENU_LEVEL_MAX,MAX LEVEL,만렙,[ṀÅẊ ŁÉṼÉŁ ———————]
MENU_TIER_1,Kitten,아깽이,[Ķïţţéń ————]
MENU_TIER_2,Alley Cat,골목대장,[Åłłéÿ Çàţ ———————]
MENU_TIER_3,Block Hopper,블록 타기 선수,[Ɓłôçķ Ĥôþþéř —————————]
MENU_TIER_4,Tower Climber,탑 오르는 냥이,[Ţôŵéř Çłïɱƀéř ——————————]
MENU_TIER_5,Legend Cat,전설의 냥이,[Łéğéńð Çàţ ————————]
HUD_XP_EARNED,EXP   +{xp},경험치   +{xp},[ÉẊÞ   +{xp} ————————]
HUD_LEVEL_UP,LEVEL UP!   Lv.{level}   +{gold} G,레벨 업!   Lv.{level}   +{gold} G,[ŁÉṼÉŁ ÜÞ!   Łṽ.{level}   +{gold} Ğ ———————————————————————————]
CHAR_REWARD,Rewards,보상,[Řéŵàřðş —————]
CHAR_REWARD_UNLOCK,Recruit,캐릭터 해금,[Řéçřüïţ —————]
CHAR_REWARD_PARTS,Parts {n},파츠 {n}단계,[Þàřţş {n} ———————]
CHAR_REWARD_DONE,Unlocked,해금됨,[Üńłôçķéð ——————]
CHAR_REWARD_NEXT,Next reward,다음 보상,[Ńéẋţ řéŵàřð ————————]
CHAR_REWARD_LOCKED,Locked,잠김,[Łôçķéð ————]
CHAR_DEX_COLLECTED,Keycaps  {ring} / 26,모은 키캡  {ring} / 26종,[Ķéÿçàþş  {ring} / 26 ————————————————]
CHAR_CUSTOM_TITLE,Customizing,커스터마이징,[Çüşţôɱïżïńğ ————————]
CHAR_FEATURE_TITLE,Title Screen Cat,대표 캐릭터 설정,[Ţïţłé Şçřééń Çàţ ————————————]
CHAR_FEATURE_ASK,Show this cat on the title screen?,이 캐릭터를 타이틀 화면의 대표 캐릭터로 설정할까요?,[Şĥôŵ ţĥïş çàţ ôń ţĥé ţïţłé şçřééń? ———————————————————————————]
CHAR_FEATURE_ON,★ Title screen cat,★ 대표 캐릭터,[★ Ţïţłé şçřééń çàţ ——————————————]
CHAR_FEATURE_SET,{name} now greets you on the title screen!,{name} 냥이가 타이틀을 지키게 됐어요!,[{name} ńôŵ ğřééţş ÿôü ôń ţĥé ţïţłé şçřééń! —————————————————————————————————]
CHAR_SLOT_FULL,Every custom slot is open,커스텀 슬롯을 모두 열었어요,[Éṽéřÿ çüşţôɱ şłôţ ïş ôþéń ————————————————————]
CHAR_SLOT_NEW,Custom slot {n} is open!,커스텀 슬롯 {n}이 열렸어요!,[Çüşţôɱ şłôţ {n} ïş ôþéń! ———————————————————]
UI_CANCEL,Cancel,취소,[Çàńçéł ————]
UI_CONFIRM,OK,확인,[ÔĶ]
CC_SAVE,Save,저장,[Şàṽé ———]
CC_SAVED,Look saved!,꾸미기를 저장했어요!,[Łôôķ şàṽéð! ————————]
ACHV_TITLE,Achievements,업적,[Åçĥïéṽéɱéńţş —————————]
ACHV_DONE_COUNT,{n} of {m} unlocked,{m}개 중 {n}개 달성,[{n} ôƒ {m} üńłôçķéð ———————————————]
ACHV_DONE,Unlocked,달성,[Üńłôçķéð ——————]
ACHV_LOCKED,Locked,미달성,[Łôçķéð ————]
ACHV_FIRST_ESCAPE_NAME,First Climb,첫 발자국,[Ƒïřşţ Çłïɱƀ ————————]
ACHV_FIRST_ESCAPE_DESC,Finish a run in Endless Stairs.,무한의 계단을 한 판 끝낸다.,[Ƒïńïşĥ à řüń ïń Éńðłéşş Şţàïřş. ————————————————————————]
ACHV_HEIGHT_25_NAME,Up We Go,슬금슬금,[Üþ Ŵé Ğô ——————]
